iteration,log_likelihood,network_size,parameters,description
421,-17.100942163220875,65,5000_2500_1_0.2_0.1_100,
422,-17.10094216322088,65,5000_2500_1_0.2_0.1_100,
423,-17.100942163220882,65,5000_2500_1_0.2_0.1_100,
424,-17.100942163220882,65,5000_2500_1_0.2_0.1_100,
425,-17.100942163220882,65,5000_2500_1_0.2_0.1_100,
426,-17.100942163220882,65,5000_2500_1_0.2_0.1_100,
427,-17.100942163220882,65,5000_2500_1_0.2_0.1_100,
428,-17.298689490332034,66,5000_2500_1_0.2_0.1_100,
429,-17.298689490332034,66,5000_2500_1_0.2_0.1_100,
430,-17.298689490332034,66,5000_2500_1_0.2_0.1_100,
