node_a,node_b,weight
193,226,0.6603289645192801
82,431,0.5390620954825759
122,440,0.9721021667818253
79,244,0.8904446978455107
122,190,0.7043824054097244
223,299,0.9232782999851004
134,195,0.7979924717691342
158,384,0.6813048933500627
153,22,0.7151819322459222
124,319,0.755780359140823
137,201,0.6673068661751067
175,215,0.8566605086888279
110,153,0.8703031858402254
156,242,0.5964868255959849
242,299,0.8102919007106927
94,395,0.7508155583437892
177,395,0.8145545796737768
93,272,0.7833258303971358
347,432,0.7038895859473023
177,270,0.81865981543047
426,352,0.8293088467087781
34,347,0.7525171765816262
156,221,0.6195546303317021
126,226,0.8311722399954345
89,426,0.9072287734920641
216,305,0.7812646054477239
395,270,0.8318695106649937
110,273,0.9242171866764065
110,124,0.8713733590758669
45,175,0.6609824650373654
53,347,0.6116432430347831
202,246,0.6813048933500627
319,283,0.8252046511616631
110,193,0.740233095573555
105,387,0.8334427952451335
2,173,0.6925972396486826
31,270,0.7879741556505242
175,270,0.8898213905938087
153,293,0.7018400087704944
246,395,0.844918444165621
45,201,0.5665802081404202
386,15,0.8137169364505006
122,352,0.7178327245241544
223,388,0.7282230660333328
153,225,0.7542640647982559
124,215,0.6700125470514429
58,223,0.6406036217164087
53,195,0.7255760156111435
121,347,0.6716572164464394
60,193,0.4953362580046565
272,442,0.6488368886605962
122,319,0.9406044866419746
121,352,0.6577164366373903
347,431,0.5145508777895679
426,270,0.8883312421580929
195,329,0.633987767422686
34,89,0.8205342323514714
110,226,0.9297365119196987
60,368,0.9627820106865288
121,319,0.7335006273525722
190,352,0.5859879187875512
79,173,0.5947302383939774
137,242,0.6933588296283526
431,299,0.719153772682223
195,347,0.7436445794246487
79,246,0.6888990643920873
387,432,0.8232977484059588
195,234,0.8850507343545138
123,442,0.7513511187853505
31,105,0.8120421471002403
387,299,0.9841345774118873
221,395,0.7894604767879548
177,442,0.9743694060308449
60,158,0.7425326242502472
426,440,0.933500627352572
79,319,0.8457385502377912
60,305,0.8431618569636136
110,15,0.6157716189472894
110,440,0.822883740189308
32,388,0.875784190715182
36,347,0.5526365201344712
272,301,0.7415307402760352
156,215,0.5611080961457342
368,440,0.9601003764115432
221,432,0.7401282791654581
177,195,0.835633626097867
156,225,0.6696436299878912
305,387,0.9134253450439148
110,199,0.7689934642869148
122,388,0.7138202991935263
242,244,0.8959105252804548
242,368,0.8848180677540779
34,225,0.6500827819114052
190,215,0.5984943538268507
89,216,0.9978491283985712
83,319,0.6796044315824844
32,350,0.7572101507863982
60,293,0.6129193973442255
123,326,0.6022584692597239
121,440,0.8933157188396255
226,431,0.7168666009544433
