iteration,log_likelihood,network_size
1021,-56.35499805060899,185
1022,-56.35499805060899,185
1023,-56.711493766775064,186
1024,-56.71149376677506,186
1025,-56.71149376677506,186
1026,-56.71149376677506,186
1027,-56.71149376677506,186
1028,-56.71149376677506,186
1029,-56.71149376677505,186
1030,-56.71149376677506,186
1031,-56.99308817477832,187
1032,-56.99308817477832,187
1033,-56.99308817477832,187
1034,-56.993088174778315,187
1035,-56.993088174778315,187
1036,-56.993088174778315,187
1037,-57.23779248497138,188
1038,-57.23779248497138,188
1039,-57.23779248497138,188
1040,-57.23779248497138,188
1041,-57.23779248497138,188
1042,-57.79966929607926,189
1043,-58.22862009145002,190
1044,-58.22862009145002,190
1045,-58.22862009145001,190
1046,-58.22862009145001,190
1047,-58.46852822938019,191
1048,-58.46852822938019,191
1049,-58.87198782139975,192
1050,-58.87198782139975,192
1051,-59.17611555205579,193
1052,-59.461374798409985,194
1053,-59.461374798409985,194
1054,-59.461374798409985,194
1055,-59.461374798409985,194
1056,-59.46137479840999,194
1057,-59.46137479840999,194
1058,-59.46137479840999,194
1059,-59.46137479840999,194
1060,-59.461374798409985,194
1061,-59.461374798409985,194
1062,-59.461374798409985,194
